##OS
1:AppName=24721|:0.000100:0.000100:1.000000
1:AppName=12383|:0.000100:0.000100:1.000000
1:AppName=45070|:0.000100:0.000100:1.000000
1:AppName=38101|:0.000100:0.000100:1.000000
1:AppName=6989|:0.000100:0.000100:1.000000
1:AppName=48210|:0.000100:0.000100:1.000000
1:AppName=3751|:0.000100:0.000100:1.000000
1:AppName=Link2SD|:0.000100:0.000100:1.000000
1:AppName=14224|:0.000100:0.000100:1.000000
1:AppName=25760|:0.000100:0.000100:1.000000
1:AppName=7369|:0.000100:0.000100:1.000000
1:AppName=56331|:0.000100:0.000100:1.000000
1:AppName=13987|:0.000100:0.000100:1.000000
1:AppName=48249|:0.000100:0.000100:1.000000
1:AppName=46464|:0.000100:0.000100:1.000000
1:AppName=37887|:0.000100:0.000100:1.000000
1:AppName=11961|:0.000100:0.000100:1.000000
1:AppName=5464|:0.000100:0.000100:1.000000
1:AppName=19706|:0.000100:0.000100:1.000000
1:AppName=16777|:0.000100:0.000100:1.000000
1:AppName=鬼故事基地 -鬼吹灯午夜惊魂,有声小说灵异惊悚,盗墓笔记系列全集,书旗免费小说|:0.000100:0.000100:1.000000
1:AppName=36993|:0.000100:0.000100:1.000000
1:AppName=图片猎手|:0.000100:0.000100:1.000000
1:AppName=15451|:0.000100:0.000100:1.000000
1:AppName=免费杀毒 - AVG AntiVirus FREE|:0.000100:0.000100:1.000000
1:AppName=32983|:0.000100:0.000100:1.000000
1:AppName=13515|:0.000100:0.000100:1.000000
1:AppName=猎曲奇兵SoundHound|:0.000100:0.000100:1.000000
1:AppName=月关穿越全集＋精品言情|:0.000100:0.000100:1.000000
1:AppName=Photo Art Studio - Camera HD|:0.000100:0.000100:1.000000
1:AppName=11960|:0.000100:0.000100:1.000000
1:AppName=20660|:0.000100:0.000100:1.000000
1:AppName=54015|:0.000100:0.000100:1.000000
1:AppName=10746|:0.000100:0.000100:1.000000
1:AppName=3844|:0.000100:0.000100:1.000000
1:AppName=54412|:0.000100:0.000100:1.000000
1:AppName=37265|:0.000100:0.000100:1.000000
1:AppName=6360|:0.000100:0.000100:1.000000
1:AppName=24735|:0.000100:0.000100:1.000000
1:AppName=52769|:0.000100:0.000100:1.000000
1:AppName=5739|:0.000100:0.000100:1.000000
1:AppName=9819|:0.000100:0.000100:1.000000
1:AppName=45141|:0.000100:0.000100:1.000000
1:AppName=8240|:0.000100:0.000100:1.000000
1:AppName=36516|:0.000100:0.000100:1.000000
1:AppName=OfficeSuite 7 + PDF&HD|:0.000100:0.000100:1.000000
1:AppName=37683|:0.000100:0.000100:1.000000
1:AppName=34735|:0.000100:0.000100:1.000000
1:AppName=29393|:0.000100:0.000100:1.000000
1:AppName=懒人听讲座-众里寻他千百度,不知不觉学富五车,支持微信分享|:0.000100:0.000100:1.000000
1:AppName=【有声】玄幻小说合集 - 听2013全本排行榜精品书吧|:0.000100:0.000100:1.000000
1:AppName=29815|:0.000100:0.000100:1.000000
1:AppName=11997|:0.000100:0.000100:1.000000
1:AppName=62945|:0.000100:0.000100:1.000000
1:AppName=59641|:0.000100:0.000100:1.000000
1:AppName=1167|:0.000100:0.000100:1.000000
1:AppName=22089|:0.000100:0.000100:1.000000
1:AppName=4583|:0.000100:0.000100:1.000000
